"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
access_viruco_base_1,phuluc.hop.dong,green_erp_viruco_base.model_phuluc_hop_dong,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_2,hop.dong,green_erp_viruco_base.model_hop_dong,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_3,don.ban.hang.line,green_erp_viruco_base.model_don_ban_hang_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_4,don.ban.hang,green_erp_viruco_base.model_don_ban_hang,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_5,hopdong.line,green_erp_viruco_base.model_hopdong_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_6,don.mua.hang.line,green_erp_viruco_base.model_don_mua_hang_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_7,don.mua.hang,green_erp_viruco_base.model_don_mua_hang,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_8,sale.arbitration,green_erp_viruco_base.model_sale_arbitration,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_9,chatluong.sanpham,green_erp_viruco_base.model_chatluong_sanpham,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_10,nha.sanxuat,green_erp_viruco_base.model_nha_sanxuat,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_11,quycach.baobi,green_erp_viruco_base.model_quycach_baobi,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_12,quycach.donggoi,green_erp_viruco_base.model_quycach_donggoi,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_13,hinhthuc.giaohang,green_erp_viruco_base.model_hinhthuc_giaohang,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_14,dieukien.giaohang,green_erp_viruco_base.model_dieukien_giaohang,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_15,lo.trinh,green_erp_viruco_base.model_lo_trinh,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_16,bang.gia,green_erp_viruco_base.model_bang_gia,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_17,cang.donghang,green_erp_viruco_base.model_cang_donghang,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_18,bang.gia.line,green_erp_viruco_base.model_bang_gia_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_19,phuluc.hopdong.line,green_erp_viruco_base.model_phuluc_hopdong_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_20,draft.bl,green_erp_viruco_base.model_draft_bl,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_21,draft.bl.line,green_erp_viruco_base.model_draft_bl_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_22,bang.tam.init,green_erp_viruco_base.model_bang_tam_init,base.group_user,True,True,True,True
access_viruco_base_23,port.of.loading,green_erp_viruco_base.model_port_of_loading,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_24,port.of.discharge,green_erp_viruco_base.model_port_of_discharge,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_25,place.of.delivery,green_erp_viruco_base.model_place_of_delivery,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_26,destination.port,green_erp_viruco_base.model_destination_port,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_27,theodoi.hopdong.line,green_erp_viruco_base.model_theodoi_hopdong_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_28,dk.thanhtoan,green_erp_viruco_base.model_dk_thanhtoan,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_29,description.line,green_erp_viruco_base.model_description_line,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_30,so.hopdong,green_erp_viruco_base.model_so_hopdong,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_31,hd.incoterm,green_erp_viruco_base.model_hd_incoterm,green_erp_viruco_base.group_viruco_admin,True,True,True,True
access_viruco_base_32,shipping_line,green_erp_viruco_base.model_shipping_line,base.group_user,True,True,True,True
access_viruco_base_33,forwarder_line,green_erp_viruco_base.model_forwarder_line,base.group_user,True,True,True,True
access_viruco_base_34,chat_luong,green_erp_viruco_base.model_chat_luong,base.group_user,True,True,True,True

access_viruco_base_35,theodoi.hopdong,green_erp_viruco_base.model_theodoi_hopdong,green_erp_viruco_base.group_viruco_admin,True,True,True,True
